title,posted,rate,proposals,url
Bring to life my Home Page banner / logo,2 weeks ago,$164,17,https://www.peopleperhour.com/freelance-jobs/design/other/bring-to-life-my-home-page-banner-logo-2746538
Website Blog/Copywriter,3 weeks ago,$104,41,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/website-blog-copywriter-2732669
3000 word creative article based on Music Festivals,3 weeks ago,$59,39,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/3000-word-creative-article-based-on-music-festivals-2733915
1250 Word Real Estate Blog Article,3 weeks ago,$30,31,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/1250-word-real-estate-blog-article-2736653
"RECREATION OF ATTACHMENT, DONE PROFESSIONALLY AND TO BRIEF.",3 weeks ago,$237,19,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/recreation-of-attachment-done-professionally-and-to-brief-2734171
Formal Business Proposal to Add Staffing,1 week ago,$100,8,https://www.peopleperhour.com/freelance-jobs/business-support/business-plan/formal-business-proposal-to-add-staffing-2753439
I need a decent and experienced content writer,3 weeks ago,$300,34,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-need-a-decent-and-experienced-content-writer-2732879
Early years UK curriculum,3 weeks ago,$27/hr,5,https://www.peopleperhour.com/freelance-jobs/tutorials/languages/early-years-uk-curriculum-2738141
Cloud App or Website/Desktop App Creation,5 days ago,$415,15,https://www.peopleperhour.com/freelance-jobs/software-development/other/cloud-app-or-website-desktop-app-creation-2756960
Company profile needed,4 weeks ago,$129,15,https://www.peopleperhour.com/freelance-jobs/writing/company-profile/company-profile-needed-2726600
I need a text in 20 videos on a moving box (perfectly),3 weeks ago,$80,15,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/video-editing/i-need-a-text-in-20-videos-on-a-moving-box-perfectly-2740225
Login Automation Script Using the SiteKiosk Object Model,3 weeks ago,$50,14,https://www.peopleperhour.com/freelance-jobs/software-development/script/login-automation-script-using-the-sitekiosk-object-model-2735210
Looking for a proof reader / writer,2 weeks ago,$$$,52,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/looking-for-a-proof-reader-writer-2741369
Letter Confirming Proof of Self Employment by accountant,2 weeks ago,$71,5,https://www.peopleperhour.com/freelance-jobs/business-support/accounting/letter-confirming-proof-of-self-employment-by-accountant-2747433
YA novella line edit of opening chapters,1 week ago,$45,12,https://www.peopleperhour.com/freelance-jobs/writing/editing-proofreading/ya-novella-line-edit-of-opening-chapters-2750753
Large Scale Data Collection,3 days ago,$123,55,https://www.peopleperhour.com/freelance-jobs/admin/other/large-scale-data-collection-2758645
B2B Blogger must be able to add value to content,2 weeks ago,$108,24,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/b2b-blogger-must-be-able-to-add-value-to-content-2748235
Enhanced E-Commerce Tracking Javascript,3 weeks ago,$$,10,https://www.peopleperhour.com/freelance-jobs/software-development/java-programming/enhanced-e-commerce-tracking-javascript-2737959
Experienced Writers for Sales/Business/Training related Articles,2 days ago,$100,25,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/experienced-writers-for-sales-business-training-related-arti-2759429
"MS Excel - Bank statement CSV file. Only ""keep"" new unique lines",3 hours ago,$178,34,https://www.peopleperhour.com/freelance-jobs/software-development/other/ms-excel-bank-statement-csv-file-only-keep-new-unique-l-2762330
I need a property finance / estate agent copywriter,2 weeks ago,$36,26,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/i-need-a-property-finance-estate-agent-copywriter-2744951
Wordpress Real Estate theme - Rewrite URL to combine taxonomies,2 weeks ago,$44,11,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/wordpress-real-estate-theme-rewrite-url-to-combine-taxonom-2747002
Video embedder/SEO copywriter - Adult site (18+)/Wordpress,4 weeks ago,$30,14,https://www.peopleperhour.com/freelance-jobs/search-marketing/on-site-seo/video-embedder-seo-copywriter-adult-site-18-wordpress-2728133
Content Writer - Technical topic,3 hours ago,$$,14,https://www.peopleperhour.com/freelance-jobs/writing/other/content-writer-technical-topic-2762335
Restaurant content,4 weeks ago,$78,22,https://www.peopleperhour.com/freelance-jobs/writing/website-content/restaurant-content-2728436
Content Writter,4 weeks ago,$100,28,https://www.peopleperhour.com/freelance-jobs/writing/website-content/content-writter-2725272
Need a storyteller writer with English as 1st language,2 weeks ago,$50,17,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/need-a-storyteller-writer-with-english-as-1st-language-2749117
Creative writer  & psychologist needed,2 weeks ago,$10,9,https://www.peopleperhour.com/freelance-jobs/writing/letter/creative-writer-psychologist-needed-2741291
Enhance social media presence in healthcare,3 weeks ago,$352,32,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/enhance-social-media-presence-in-healthcare-2738880
English Converting Sales Copywriting,3 weeks ago,$164,23,https://www.peopleperhour.com/freelance-jobs/writing/creative-writing/english-converting-sales-copywriting-2735986
Create a website,3 weeks ago,$3.0k,63,https://www.peopleperhour.com/freelance-jobs/web-development/other/create-a-website-2736502
I need skilled writers to create blog content,4 weeks ago,$,42,https://www.peopleperhour.com/freelance-jobs/writing/website-content/i-need-skilled-writers-to-create-blog-content-2730836
Add Features For my platform,6 days ago,$273,20,https://www.peopleperhour.com/freelance-jobs/web-development/php/add-features-for-my-platform-2756283
"Multiplayer, Touch screen game with leaderboard.",1 week ago,$500,13,https://www.peopleperhour.com/freelance-jobs/software-development/other/multiplayer-touch-screen-game-with-leaderboard-2753902
Help Listing Product to Liquidate,2 weeks ago,$95,6,https://www.peopleperhour.com/freelance-jobs/marketing-pr/viral-campaigns/help-listing-product-to-liquidate-2746547
Need an SMM specialist for FB/IG posts,4 weeks ago,$36/hr,14,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/need-an-smm-specialist-for-fb-ig-posts-2725063
"Graphic designer, audio & video auditor",3 weeks ago,$$,9,https://www.peopleperhour.com/freelance-jobs/design/social-media/graphic-designer-audio-video-auditor-2740882
Facebook organic posts - Content plan,2 days ago,$273,20,https://www.peopleperhour.com/freelance-jobs/social-media/facebook/facebook-organic-posts-content-plan-2759869
RISK ASSESSMENT FOR NEW PRODUCT - UK,3 weeks ago,$50,11,https://www.peopleperhour.com/freelance-jobs/extraordinary/other/risk-assessment-for-new-product-uk-2734542
Design a simple business flyer,3 weeks ago,$8,34,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/design-a-simple-business-flyer-2738998
Recruit op-ed writers,3 weeks ago,$98,16,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/recruit-op-ed-writers-2736992
Tokyo-Based Media Company Looking for UK/British Article Writers,4 weeks ago,$119,19,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/tokyo-based-media-company-looking-for-uk-british-article-wri-2726870
Website transfer and amendments,3 weeks ago,$150,19,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/website-transfer-and-amendments-2732381
Need a content writer for WEBSITE,2 weeks ago,$140,28,https://www.peopleperhour.com/freelance-jobs/writing/website-content/need-a-content-writer-for-website-2742954
I need a web content keywords,2 weeks ago,$10,16,https://www.peopleperhour.com/freelance-jobs/search-marketing/keyword-research/i-need-a-web-content-keywords-2743222
Google Ads Management for B2B Packaging Company,3 weeks ago,$148,30,https://www.peopleperhour.com/freelance-jobs/search-marketing/google-adwords/google-ads-management-for-b2b-packaging-company-2732199
"Full Stack Developer in Fulltime | HTML, CSS, JS, PHP, MySQL",3 weeks ago,$1.0k,60,https://www.peopleperhour.com/freelance-jobs/web-development/e-commerce/full-stack-developer-in-fulltime-html-css-js-php-mysql-2735017
I need to decrypt and remove the DRM of my ePUB files,4 weeks ago,$30,4,https://www.peopleperhour.com/freelance-jobs/software-development/other/i-need-to-decrypt-and-remove-the-drm-of-my-epub-files-2730176
Looking for a grant proposal for non-profit fundraising,4 weeks ago,$100,13,https://www.peopleperhour.com/freelance-jobs/writing/other/looking-for-a-grant-proposal-for-non-profit-fundraising-2725076
Experienced writer in english,2 weeks ago,$10,20,https://www.peopleperhour.com/freelance-jobs/business-support/other/experienced-writer-in-english-2743407
Market Research Data Entry Assistant,3 hours ago,$400,36,https://www.peopleperhour.com/freelance-jobs/admin/data-entry/market-research-data-entry-assistant-2762292
5 texts for phone sex website (only German native speakers),4 weeks ago,$66,8,https://www.peopleperhour.com/freelance-jobs/writing/website-content/5-texts-for-phone-sex-website-only-german-native-speakers-2729683
Need a photo editing in photoshop,2 weeks ago,$30/hr,97,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/photo-retouching-editing/need-a-photo-editing-in-photoshop-2743780
I have a blog with mathematical equations that needs editing,2 weeks ago,$24/hr,10,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/i-have-a-blog-with-mathematical-equations-that-needs-editing-2745083
Local Veg Box Company Rebrand - UK Only,1 week ago,$237,24,https://www.peopleperhour.com/freelance-jobs/design/label-packaging/local-veg-box-company-rebrand-uk-only-2752295
I Need article Writer,4 weeks ago,$30,59,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-need-article-writer-2727833
Game Review Writer,3 weeks ago,$100,11,https://www.peopleperhour.com/freelance-jobs/writing/other/game-review-writer-2737490
Content Writer for E book,2 weeks ago,$80,27,https://www.peopleperhour.com/freelance-jobs/writing/e-book/content-writer-for-e-book-2747786
Global health Strategy Qualitative Project,4 weeks ago,$10,15,https://www.peopleperhour.com/freelance-jobs/business-support/other/global-health-strategy-qualitative-project-2725037
I need a logo designed,3 weeks ago,$83,68,https://www.peopleperhour.com/freelance-jobs/design/logo-design/i-need-a-logo-designed-2739237
LOOKING FOR UK BASED CALLIGRAPHERS FOR A PROJECT,4 weeks ago,$36,10,https://www.peopleperhour.com/freelance-jobs/writing/letter/looking-for-uk-based-calligraphers-for-a-project-2731099
Content Writer,3 weeks ago,$356,32,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/content-writer-2737880
"Minimalist logo design, flyer design  and business card design",3 weeks ago,$107,55,https://www.peopleperhour.com/freelance-jobs/design/logo-design/minimalist-logo-design-flyer-design-and-business-card-desi-2735083
SEO for a Website,2 weeks ago,$10,23,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/seo-for-a-website-2744128
Step by Step actionable custom metrics & insights - GA,4 weeks ago,$90,3,https://www.peopleperhour.com/freelance-jobs/tutorials/writing/step-by-step-actionable-custom-metrics-insights-ga-2731850
I want ti get a cook book published,1 week ago,$79,8,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/i-want-ti-get-a-cook-book-published-2751601
Theme based Quiz,6 days ago,$20,7,https://www.peopleperhour.com/freelance-jobs/writing/other/theme-based-quiz-2754146
Create basic Virtual Tour Software website,3 weeks ago,$222,13,https://www.peopleperhour.com/freelance-jobs/web-development/other/create-basic-virtual-tour-software-website-2711651
Freelance Community Manager: Weekends,4 hours ago,$12/hr,12,https://www.peopleperhour.com/freelance-jobs/social-media/community-management/freelance-community-manager-weekends-2733899
Tattoo design,4 weeks ago,$30/hr,21,https://www.peopleperhour.com/freelance-jobs/design/other/tattoo-design-2731361
"Chroma,music  and editing video",2 weeks ago,$200,18,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/video-editing/chroma-music-and-editing-video-2748888
I need a flyer and a business card designed,3 weeks ago,$10,19,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/i-need-a-flyer-and-a-business-card-designed-2735385
Fork a public desktop client Java,4 weeks ago,$476/hr,17,https://www.peopleperhour.com/freelance-jobs/software-development/java-programming/fork-a-public-desktop-client-java-2724640
Experienced content writer (copywriting) for donation campaign,3 days ago,$33,12,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/experienced-content-writer-copywriting-for-donation-campai-2758402
Psychic / Mediumship / Spiritual Content Writer Wanted,3 weeks ago,$77,31,https://www.peopleperhour.com/freelance-jobs/writing/website-content/psychic-mediumship-spiritual-content-writer-wanted-2735066
Shopify App to connect G2A APi,3 weeks ago,$356,19,https://www.peopleperhour.com/freelance-jobs/web-development/integration-administration/shopify-app-to-connect-g2a-api-2732808
Need a team for a new non-profit - focusing on nutrition.,3 weeks ago,$107,21,https://www.peopleperhour.com/freelance-jobs/writing/other/need-a-team-for-a-new-non-profit-focusing-on-nutrition-2732662
I need 500-800 word blogs around 4 per month on a regular basis,4 weeks ago,$95,56,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-need-500-800-word-blogs-around-4-per-month-on-a-regular-ba-2729043
"Looking for writer to post on searchenginewatch.com, and more +",4 weeks ago,$$$,15,https://www.peopleperhour.com/freelance-jobs/search-marketing/link-building/looking-for-writer-to-post-on-searchenginewatch-com-and-mor-2725119
120 sec. whiteboard Doodle,2 weeks ago,$65,22,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/promotional-videos/120-sec-whiteboard-doodle-2741723
Add-on non transaction store  in Craft CMS existing website,4 weeks ago,$356,16,https://www.peopleperhour.com/freelance-jobs/web-development/other/add-on-non-transaction-store-in-craft-cms-existing-website-2725504
Bitcoin/Cryptocurrency Paper,3 weeks ago,$50,18,https://www.peopleperhour.com/freelance-jobs/writing/report-writing/bitcoin-cryptocurrency-paper-2736271
Content Writer needed in Pakistan Islamabad NEED TO BE IN OFFICE,3 weeks ago,$59,7,https://www.peopleperhour.com/freelance-jobs/search-marketing/other/content-writer-needed-in-pakistan-islamabad-need-to-be-in-of-2732939
Part-time admin help,3 weeks ago,$12/hr,52,https://www.peopleperhour.com/freelance-jobs/admin/personal-assistance/part-time-admin-help-2738521
2D Animation Expert,3 weeks ago,$150,19,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/video-production/2d-animation-expert-2735820
Software Development for RFID tags,1 week ago,$500,6,https://www.peopleperhour.com/freelance-jobs/software-development/other/software-development-for-rfid-tags-2753366
Website content,4 weeks ago,$178,36,https://www.peopleperhour.com/freelance-jobs/writing/website-content/website-content-2729462
1x blog article - SEO Ghostwriting Fashion / Trends Article,3 weeks ago,$35,14,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/1x-blog-article-seo-ghostwriting-fashion-trends-article-2734923
Health and wellness blogs and articles,4 weeks ago,$104,84,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/health-and-wellness-blogs-and-articles-2725461
Visual Intelligence Algorithm,3 days ago,$81,12,https://www.peopleperhour.com/freelance-jobs/software-development/c-c-programming/visual-intelligence-algorithm-2758655
Automatically save Office 365 Forms to Google Drive files,3 weeks ago,$59,10,https://www.peopleperhour.com/freelance-jobs/software-development/other/automatically-save-office-365-forms-to-google-drive-files-2736524
Build new Adwords Campaign,3 weeks ago,$169,24,https://www.peopleperhour.com/freelance-jobs/search-marketing/google-adwords/build-new-adwords-campaign-2736577
Ghost writer,2 weeks ago,$474,34,https://www.peopleperhour.com/freelance-jobs/writing/e-book/ghost-writer-2732764
Andorid App,3 weeks ago,$326,14,https://www.peopleperhour.com/freelance-jobs/software-development/other/andorid-app-2740806
SEO Website Content Proofreader / Editor,2 weeks ago,$25/hr,27,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/seo-website-content-proofreader-editor-2749633
We need to come up with and describe the simplest Android games,2 weeks ago,$200,6,https://www.peopleperhour.com/freelance-jobs/writing/technical-writing/we-need-to-come-up-with-and-describe-the-simplest-android-ga-2744652
Need new designs every month around social issues for Merch,4 days ago,$30,16,https://www.peopleperhour.com/freelance-jobs/design/t-shirt-clothing/need-new-designs-every-month-around-social-issues-for-merch-2757508
"I am Looking for Blockchain, Fintech Journalist or Copywriter",1 week ago,$500,19,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/i-am-looking-for-blockchain-fintech-journalist-or-copywrite-2752451
SEO for my UK payroll Wordpress website,3 weeks ago,$125,40,https://www.peopleperhour.com/freelance-jobs/search-marketing/other/seo-for-my-uk-payroll-wordpress-website-2736897
C# .Net Core library developer,1 week ago,$24/hr,29,https://www.peopleperhour.com/freelance-jobs/web-development/other/c-net-core-library-developer-2754415
Screenwriter,4 weeks ago,$119,17,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/screenwriter-2730705
Simplistic but effective one product shopify store design,3 weeks ago,$59,15,https://www.peopleperhour.com/freelance-jobs/design/website-design/simplistic-but-effective-one-product-shopify-store-design-2734733
Data Entry Expert Needed in India,2 weeks ago,$100,85,https://www.peopleperhour.com/freelance-jobs/writing/other/data-entry-expert-needed-in-india-2745441
Alumni Project - Platanos College,3 weeks ago,$33/hr,9,https://www.peopleperhour.com/freelance-jobs/marketing-pr/general-communications/alumni-project-platanos-college-2739640
High design personal branding website needed. Just 3 sub pages.,7 days ago,$593,27,https://www.peopleperhour.com/freelance-jobs/design/website-design/high-design-personal-branding-website-needed-just-3-sub-pag-2755138
Introduction Pitch for tradesmen to enter our database,1 week ago,$36,3,https://www.peopleperhour.com/freelance-jobs/writing/other/introduction-pitch-for-tradesmen-to-enter-our-database-2753762
Red Squirrel Performance Affiliate Network Website Design UK,3 weeks ago,$77,13,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/red-squirrel-performance-affiliate-network-website-design-uk-2736160
Professional Logo,4 weeks ago,$12,42,https://www.peopleperhour.com/freelance-jobs/design/logo-design/professional-logo-2726773
"Google Ads Specialist (in French, Spanish and Portuguese)",3 weeks ago,$14/hr,12,https://www.peopleperhour.com/freelance-jobs/search-marketing/keyword-research/google-ads-specialist-in-french-spanish-and-portuguese-2734584
"Content Writer, Publicist for Print and Digital (Medical)",3 weeks ago,$50,16,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/content-writer-publicist-for-print-and-digital-medical-2733073
Journalist for part time magazine,3 weeks ago,$18,16,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/journalist-for-part-time-magazine-2732642
Content writer to help finetune website in TCM/healthcare clinic,4 weeks ago,$150,5,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/content-writer-to-help-finetune-website-in-tcm-healthcare-cl-2729401
"Adult site - SEO strategy, optimisation and implementation",1 week ago,$593,39,https://www.peopleperhour.com/freelance-jobs/search-marketing/on-site-seo/adult-site-seo-strategy-optimisation-and-implementation-2750119
Pattern Cutter,4 weeks ago,$77,11,https://www.peopleperhour.com/freelance-jobs/creative-arts/apparel-design-print/pattern-cutter-2728917
Services for media monitoring,1 day ago,$500,3,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-media-relations/services-for-media-monitoring-2760608
"Digital content writer: blogs, info-graphics, articles",4 weeks ago,$1.0k,17,https://www.peopleperhour.com/freelance-jobs/writing/other/digital-content-writer-blogs-info-graphics-articles-2730037
Canva Creative | Entry Level | IMMEDIATE JOB / Graphic designer,1 week ago,$$,16,https://www.peopleperhour.com/freelance-jobs/design/illustration-graphics/canva-creative-entry-level-immediate-job-graphic-desig-2752614
Crowdfunding for New Product Range,3 weeks ago,$178,12,https://www.peopleperhour.com/freelance-jobs/writing/website-content/crowdfunding-for-new-product-range-2738852
IOS and Android developer for IoT project,2 weeks ago,$59/hr,41,https://www.peopleperhour.com/freelance-jobs/mobile/iphone-app/ios-and-android-developer-for-iot-project-2741348
"Social Media, Content & Graphic Design | IT Service Provider",2 weeks ago,$36/hr,27,https://www.peopleperhour.com/freelance-jobs/social-media/other/social-media-content-graphic-design-it-service-provider-2746992
EBook - Natural remedies for pulmonary  disease,3 days ago,$50,18,https://www.peopleperhour.com/freelance-jobs/writing/ghost-writing/ebook-natural-remedies-for-pulmonary-disease-2758820
Copywriting for a Saas Website,4 weeks ago,$142,14,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/copywriting-for-a-saas-website-2730089
Need a professional set of brand assets and website building,3 weeks ago,$474,19,https://www.peopleperhour.com/freelance-jobs/design/other/need-a-professional-set-of-brand-assets-and-website-building-2736083
Social Media Maximiser,4 weeks ago,$213,12,https://www.peopleperhour.com/freelance-jobs/social-media/community-management/social-media-maximiser-2724702
Magento Developers Wanted,1 week ago,$297,36,https://www.peopleperhour.com/freelance-jobs/web-development/magento/magento-developers-wanted-2752842
Music producer needed for a upcoming Famestars album,2 weeks ago,$10.0k,15,https://www.peopleperhour.com/freelance-jobs/video-photo-audio/music-production/music-producer-needed-for-a-upcoming-famestars-album-2744845
SAAS (Software As A Services)  Content Marketing,3 weeks ago,$20/hr,12,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/saas-software-as-a-services-content-marketing-2739840
Need a Guest Blog on Harvard.edu & Cornell.edu Websites,4 weeks ago,$120,11,https://www.peopleperhour.com/freelance-jobs/writing/other/need-a-guest-blog-on-harvard-edu-cornell-edu-websites-2728790
Copywriting for website,2 days ago,$178,17,https://www.peopleperhour.com/freelance-jobs/writing/website-content/copywriting-for-website-2753529
Experienced WordPress developers needed,1 week ago,$166,66,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/experienced-wordpress-developers-needed-2751859
Expired domain catcher script EPP protocol,3 weeks ago,$383,9,https://www.peopleperhour.com/freelance-jobs/web-development/other/expired-domain-catcher-script-epp-protocol-2731996
"Virtual Assistant for Inbound Sales, Customer Services and Admin",4 weeks ago,$24/hr,45,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/virtual-assistant-for-inbound-sales-customer-services-and-a-2727261
Freelancer required to create simple Flyer,1 week ago,$50,34,https://www.peopleperhour.com/freelance-jobs/design/brochure-flyer-leaflet/freelancer-required-to-create-simple-flyer-2749806
Design of Light-box Poster in Photoshop,7 days ago,$101,16,https://www.peopleperhour.com/freelance-jobs/design/other/design-of-light-box-poster-in-photoshop-2754838
Turn .PSD into functional WordPress with all needed features,4 weeks ago,$100,13,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/turn-psd-into-functional-wordpress-with-all-needed-features-2724863
Infographic and Charts,4 weeks ago,$84,24,https://www.peopleperhour.com/freelance-jobs/business-support/data-analysis/infographic-and-charts-2725043
FREELANCE ENGLISH CONTENT WRITER,3 weeks ago,$28/hr,19,https://www.peopleperhour.com/freelance-jobs/writing/editing-proofreading/freelance-english-content-writer-2737638
"Compelling, researched articles for UK cleaning site (UK Only)",4 weeks ago,$59,20,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/compelling-researched-articles-for-uk-cleaning-site-uk-onl-2731884
Customer Service Advisor,4 weeks ago,$23/hr,43,https://www.peopleperhour.com/freelance-jobs/admin/customer-service/customer-service-advisor-2729411
Affiliate website for Clickbank and Amazon,4 weeks ago,$250,5,https://www.peopleperhour.com/freelance-jobs/web-development/other/affiliate-website-for-clickbank-and-amazon-2730946
A comedy script written for a one-minute video,4 weeks ago,$100,13,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/a-comedy-script-written-for-a-one-minute-video-2724550
"PR person - regular ongoing work (reading, london)",2 weeks ago,$34/hr,9,https://www.peopleperhour.com/freelance-jobs/marketing-pr/press-releases/pr-person-regular-ongoing-work-reading-london-2745929
"Long term copywriting, possible YouTube videos, other content",4 weeks ago,$$,10,https://www.peopleperhour.com/freelance-jobs/writing/copywriting/long-term-copywriting-possible-youtube-videos-other-conten-2731230
Form Building which connects to software via API,3 weeks ago,$$$,8,https://www.peopleperhour.com/freelance-jobs/software-development/integration-api/form-building-which-connects-to-software-via-api-2732506
Social Media Management,3 weeks ago,$352,36,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/social-media-management-2732325
Content researcher/curator & social media scheduler,3 days ago,$119,25,https://www.peopleperhour.com/freelance-jobs/social-media/other/content-researcher-curator-social-media-scheduler-2758342
Luxury Brand Instagram Social Media Manager + Ads,2 weeks ago,$474,44,https://www.peopleperhour.com/freelance-jobs/social-media/social-media-strategy/luxury-brand-instagram-social-media-manager-ads-2744740
Administrative manager,3 weeks ago,$1.5k,34,https://www.peopleperhour.com/freelance-jobs/admin/virtual-assistance/administrative-manager-2733989
Event Manager From Start To Finish for Workshops in London,4 weeks ago,$28/hr,15,https://www.peopleperhour.com/freelance-jobs/marketing-pr/other/event-manager-from-start-to-finish-for-workshops-in-london-2730646
Native English teacher,4 weeks ago,$10,9,https://www.peopleperhour.com/freelance-jobs/tutorials/languages/native-english-teacher-2725959
TO SET-UP E-COMMERCE WEB APPLICATION PROJECT,4 weeks ago,$775,31,https://www.peopleperhour.com/freelance-jobs/software-development/application-development/to-set-up-e-commerce-web-application-project-2724652
Software Quality Assurance Tester - On Site,3 weeks ago,$200,"",https://www.peopleperhour.com/freelance-jobs/software-development/software-testing/software-quality-assurance-tester-on-site-2740332
Full Stack JavaScript Developer - Senior (Remote),3 weeks ago,$10/hr,19,https://www.peopleperhour.com/freelance-jobs/software-development/application-development/full-stack-javascript-developer-senior-remote-2734087
Web Redesign,5 days ago,$50/hr,51,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/web-redesign-2756653
Social Media Automation (Instagram) professional is needed,3 weeks ago,$332,10,https://www.peopleperhour.com/freelance-jobs/social-media/other/social-media-automation-instagram-professional-is-needed-2736695
900 Aurora branded Products (General Lighting Products),3 weeks ago,$1.6k,31,https://www.peopleperhour.com/freelance-jobs/writing/product-description-review/900-aurora-branded-products-general-lighting-products-2735587
IT Industry Research: Digital Behavioral Identification,2 weeks ago,$114,10,https://www.peopleperhour.com/freelance-jobs/writing/blog-article-writing/it-industry-research-digital-behavioral-identification-2748915
Backlinks - Read Description,1 week ago,$200,12,https://www.peopleperhour.com/freelance-jobs/search-marketing/link-building/backlinks-read-description-2752904
Recording 4 scenarios,2 weeks ago,$$,3,https://www.peopleperhour.com/freelance-jobs/writing/screen-script-writing/recording-4-scenarios-2741456
"Long-term Part/Full-time Software Dev Project Manager (UK based, native English!)",1 week ago,$24/hr,19,https://www.peopleperhour.com/freelance-jobs/software-development/other/long-term-part-full-time-software-dev-project-manager-uk-ba-2747335
Amazon FBA Virtual Assistant VA Full Time $300 per month + Bonus,3 weeks ago,$300,10,https://www.peopleperhour.com/freelance-jobs/business-support/business-development/amazon-fba-virtual-assistant-va-full-time-300-per-month-b-2734072
We need our current website redesigned according to a new spec,3 weeks ago,$404,20,https://www.peopleperhour.com/freelance-jobs/web-development/custom-website/we-need-our-current-website-redesigned-according-to-a-new-sp-2736534
We need an organised VA/Production Manager,4 weeks ago,$18/hr,24,https://www.peopleperhour.com/freelance-jobs/business-support/other/we-need-an-organised-va-production-manager-2725303
I need a Wordpress website built for an online travel agency,2 weeks ago,$500,50,https://www.peopleperhour.com/freelance-jobs/web-development/wordpress/i-need-a-wordpress-website-built-for-an-online-travel-agency-2743799
2D Character Animation,4 weeks ago,$949,44,https://www.peopleperhour.com/freelance-jobs/design/animation/2d-character-animation-2725351
Remote/Freelance Full-stack Web Developer,2 weeks ago,$500,34,https://www.peopleperhour.com/freelance-jobs/web-development/other/remote-freelance-full-stack-web-developer-2746742
Help me research and categorise a list of 500 retail websites,7 days ago,$95,12,https://www.peopleperhour.com/freelance-jobs/web-development/other/help-me-research-and-categorise-a-list-of-500-retail-website-2754973
Looking for a 5 - 15 minute Cinematic Short Film/Story Trailer.,2 weeks ago,$$$,13,https://www.peopleperhour.com/freelance-jobs/design/animation/looking-for-a-5-15-minute-cinematic-short-film-story-trail-2746209
CV and Covver letter for Procurement Buyer position,2 weeks ago,$$,13,https://www.peopleperhour.com/freelance-jobs/writing/cv-cover-letter/cv-and-covver-letter-for-procurement-buyer-position-2748998
Mobile App (iOS & Android),4 weeks ago,$50,25,https://www.peopleperhour.com/freelance-jobs/mobile/other/mobile-app-ios-android-2723724
Build and Design a website that will help heal millions,4 weeks ago,$593,19,https://www.peopleperhour.com/freelance-jobs/web-development/other/build-and-design-a-website-that-will-help-heal-millions-2730725
Project Manager,3 months ago,$335,81,https://www.peopleperhour.com/freelance-jobs/business-support/other/project-manager-2647887
